iter	RMSE
142	152835.6838
143	152044.2491
144	151469.7335
145	151161.0811
146	150712.1985
147	150327.1416
148	148956.1371
149	148010.6367
150	147437.8486
151	146862.3993
152	145921.0143
153	145370.4828
154	144779.3694
155	144334.919
156	143837.375
157	142718.3757
158	141676.354
159	141320.7547
160	140365.6189
161	139270.2403
162	138771.9298
163	137796.2611
164	136935.9885
165	136479.8002
166	135713.6334
167	134944.4225
168	134034.7856
169	133647.379
170	132786.9928
171	132381.7341
172	132016.5038
173	131471.2753
174	130671.1029
175	130108.4895
176	129305.0925
177	128270.3303
178	127646.2635
179	127031.3922
180	126646.628
181	126124.2718
182	125639.6404
183	124925.8693
184	124630.2552
185	124252.2528
186	123281.3837
187	122667.726
188	122337.9607
189	122011.3323
190	121333.7781
191	120544.3625
192	120052.0779
193	119715.59
194	119321.5468
195	118847.7217
196	118493.1639
197	117775.6248
198	117191.0259
199	116553.2422
200	116239.633
201	115500.0074
202	115190.4473
203	114847.8387
204	114385.3708
205	114176.8576
206	113468.355
207	112850.8027
208	112514.2815
209	111857.4551
210	111224.7121
211	110936.7339
212	110396.1804
213	110099.5223
214	109724.762
215	109463.4321
216	109168.7737
217	108980.6205
218	108363.1345
219	107810.367
220	107549.9311
221	107098.4553
222	106689.2944
223	106463.4256
224	106054.4996
225	105371.8156
226	105064.5222
227	104636.4974
228	104390.302
229	104013.2869
230	103608.8356
231	103344.5448
232	103084.0108
233	102705.0042
234	102446.9432
235	101919.4296
236	101692.192
237	101213.4821
238	100759.2658
239	100459.3939
240	100250.9835
241	100074.6279
242	99772.52831
243	99437.12697
244	99288.8095
245	99070.61412
246	98802.77845
247	98401.81005
248	98184.61568
249	98004.40463
250	97575.46558
251	97427.16176
252	97094.69371
253	96923.55089
254	96611.40124
255	96369.58081
256	96070.03919
257	95714.85345
258	95427.30496
259	95203.50887
260	94884.61362
261	94586.51312
262	94335.80041
263	94151.30702
264	93875.1412
265	93382.52408
266	92937.60812
267	92797.09665
268	92584.0329
269	92404.74948
270	92013.96483
271	91741.72159
272	91544.25568
273	91345.21705
274	91153.92859
275	90962.3045
276	90778.98169
277	90654.5795
278	90413.92545
279	90065.54524
280	89940.3098
281	89674.64584
282	89468.54426
283	89354.76554
284	89231.70883
285	89051.19405
286	88774.36483
287	88547.50318
288	88471.83672
289	88255.77958
290	88076.2558
291	87887.87587
292	87660.94145
293	87580.46958
294	87322.15967
295	87168.10617
296	86920.22987
297	86772.58903
298	86566.69686
299	86374.13236
300	86242.43228
301	85978.71855
302	85590.44961
303	85340.2445
304	85207.93906
305	85044.57005
306	84845.0162
307	84635.02421
308	84478.78746
309	84367.38304
310	84159.53201
311	84031.00057
312	83695.68257
313	83573.93711
314	83415.72795
315	83218.1849
316	82921.18081
317	82659.75457
318	82549.55309
319	82440.0631
320	82311.88486
321	82206.70082
322	82041.59773
323	81929.77605
324	81809.3008
325	81731.12874
326	81528.43495
327	81434.27703
328	81162.12836
329	80910.02516
330	80817.33373
331	80701.24919
332	80482.05877
333	80304.58121
334	80085.94361
335	79895.05877
336	79757.58573
337	79598.27957
338	79408.00183
339	79337.49967
340	79255.32033
341	79143.78069
342	79062.63555
343	78949.73384
344	78798.19869
345	78679.97691
346	78563.09168
347	78497.56302
348	78374.81705
349	78222.04266
350	78094.46182
351	78002.69987
352	77828.99988
353	77766.96984
354	77592.77471
355	77496.01989
356	77389.35514
357	77316.99779
358	77233.75248
359	77139.1595
360	76968.85815
361	76749.18825
362	76612.19561
363	76504.63169
364	76366.32614
365	76271.32725
366	76176.7727
367	76069.58095
368	75949.88082
369	75851.44971
370	75729.00845
371	75633.0402
372	75444.57151
373	75325.51994
374	75219.7468
375	75149.63566
376	75054.41381
377	74956.76167
378	74846.79032
379	74756.4236
380	74649.46921
381	74534.0385
382	74369.76876
383	74303.12997
384	74119.96178
385	74008.62884
386	73881.69406
387	73795.45189
388	73702.6044
389	73627.60956
390	73544.04005
391	73477.69874
392	73414.67586
393	73349.76655
394	73175.85015
395	73082.86227
396	72921.62526
397	72809.95936
398	72692.45407
399	72603.66071
400	72505.83744
401	72354.55481
402	72256.88591
403	72152.38185
404	72076.52556
405	71988.9381
406	71923.88929
407	71822.15506
408	71736.07341
409	71628.98974
410	71522.38492
411	71363.55685
412	71254.11596
413	71184.75344
414	71113.19164
415	71030.03801
416	70970.40877
417	70876.33744
418	70716.92536
419	70615.28454
420	70537.15495
421	70470.91943
422	70328.49046
423	70199.54084
424	70101.80318
425	70043.15647
426	69966.30164
427	69900.42335
428	69827.66119
429	69716.17272
430	69645.80688
431	69593.60505
432	69545.64684
433	69443.47803
434	69365.40682
435	69267.71419
436	69182.91812
437	69122.72369
438	69050.05883
439	68967.74456
440	68907.88579
441	68851.43111
442	68799.92005
443	68727.00681
444	68652.79455
445	68568.89717
446	68468.28341
447	68391.67606
448	68324.72621
449	68240.55082
450	68107.65651
451	68040.89176
452	67913.25818
453	67842.19809
454	67768.68157
455	67710.75626
456	67662.10039
457	67616.66247
458	67585.97568
459	67484.30563
460	67371.05527
461	67328.75419
462	67253.46581
463	67175.89466
464	67126.10534
465	67049.90049
466	67005.13016
467	66947.49105
468	66871.33374
469	66825.20501
470	66781.11407
471	66719.47823
472	66609.19832
473	66521.55434
474	66478.61443
475	66433.02553
476	66396.88582
477	66337.78199
478	66308.3096
479	66267.93933
480	66226.26469
481	66183.86169
482	66071.6671
483	66018.61511
484	65973.16763
485	65915.40121
486	65837.20453
487	65724.08758
488	65691.838
489	65600.47089
490	65550.74774
491	65501.17593
492	65447.27502
493	65385.94898
494	65303.27965
495	65204.9891
496	65111.01629
497	65040.7021
498	65001.93294
499	64963.18978
500	64922.77072
501	64864.4275
502	64829.23178
503	64760.82081
504	64681.5765
505	64639.85216
506	64597.43251
507	64508.19963
508	64440.64727
509	64409.00072
510	64280.34174
511	64200.96423
512	64105.50803
513	64054.73787
514	64021.79018
515	63955.84564
516	63916.10945
517	63826.78969
518	63772.50209
519	63749.00411
520	63685.8795
521	63629.88945
522	63580.84433
523	63525.64695
524	63470.29859
525	63417.96185
526	63381.35974
527	63351.1189
528	63320.12612
529	63222.47669
530	63190.80782
531	63108.08019
532	63067.88725
533	63012.53779
534	62939.49696
535	62887.72609
536	62846.46006
537	62804.20667
538	62732.93925
539	62678.99307
540	62646.75166
541	62601.76589
542	62565.58867
543	62518.85007
544	62446.18842
545	62408.04491
546	62368.4004
547	62328.29572
548	62262.73216
549	62182.93531
550	62144.58822
551	62079.47839
552	62005.32458
553	61920.78253
554	61834.8814
555	61801.79513
556	61773.14263
557	61722.66948
558	61687.61272
559	61627.10312
560	61568.81727
561	61524.42459
562	61448.73268
563	61414.95555
564	61384.33731
565	61335.58278
566	61293.60598
567	61245.07721
568	61166.66352
569	61100.10103
570	61040.5131
571	60977.72064
572	60910.47358
573	60858.20725
574	60822.07197
575	60772.82991
576	60723.06148
577	60667.63819
578	60630.96128
579	60598.08875
580	60574.76854
581	60550.27715
582	60478.12309
583	60401.44705
584	60355.6588
585	60316.70588
586	60255.90315
587	60222.87253
588	60194.16422
589	60158.00849
590	60115.69114
591	60043.38182
592	59970.01486
593	59903.78422
594	59870.40727
595	59835.78688
596	59801.91828
597	59727.52934
598	59674.64811
599	59610.4995
600	59554.13216
601	59529.83486
602	59472.79894
603	59425.82554
604	59385.68756
605	59318.33496
606	59284.60449
607	59239.58676
608	59206.59199
609	59154.2242
610	59101.95032
611	59027.80626
612	58996.12612
613	58957.7588
614	58894.47899
615	58820.20242
616	58777.94107
617	58746.23751
618	58721.08525
619	58664.72947
620	58616.8716
621	58584.0901
622	58548.43625
623	58515.48766
624	58464.63725
625	58438.74914
626	58381.83483
627	58349.30558
628	58299.85146
629	58246.40083
630	58225.13288
631	58174.5689
632	58142.30857
633	58094.46533
634	58045.96998
635	57992.86979
636	57949.50138
637	57903.11162
638	57870.10568
639	57827.1925
640	57781.64711
641	57746.7944
642	57703.70075
643	57661.02059
644	57603.62906
645	57557.49438
646	57515.12484
647	57491.83582
648	57461.64017
649	57420.27082
650	57386.39976
651	57361.95876
652	57335.47301
653	57308.45181
654	57274.55957
655	57219.62244
656	57179.75313
657	57141.07381
658	57107.30044
659	57079.83045
660	57050.20836
661	56993.71247
662	56934.49747
663	56883.32896
664	56854.42678
665	56821.18158
666	56793.79619
667	56766.87763
668	56739.93397
669	56686.18519
670	56648.9182
671	56614.31805
672	56580.58043
673	56535.46862
674	56511.18371
675	56487.87472
676	56463.93114
677	56436.00889
678	56409.13658
679	56379.27636
680	56323.11756
681	56248.5265
682	56224.14378
683	56181.32775
684	56143.85953
685	56123.08352
686	56069.31083
687	56036.17351
688	55983.27715
689	55950.29024
690	55891.78906
691	55867.75936
692	55839.87768
693	55815.46809
694	55778.43984
695	55741.14564
696	55717.32638
697	55689.65049
698	55635.289
699	55601.87598
700	55576.76767
701	55538.49595
702	55500.8745
703	55477.61734
704	55414.64163
705	55388.74619
706	55371.47549
707	55339.20437
708	55309.4933
709	55278.54846
710	55246.08248
711	55203.5061
712	55151.31756
713	55118.62172
714	55079.02141
715	55033.83684
716	55002.4649
717	54966.66526
718	54927.04988
719	54895.39408
720	54837.85882
721	54815.71501
722	54801.5034
723	54770.81786
724	54717.07993
725	54698.0132
726	54685.4593
727	54647.85105
728	54604.17202
729	54569.96521
730	54527.93437
731	54506.19005
732	54457.62463
733	54433.64423
734	54410.66255
735	54355.02577
736	54335.22869
737	54279.23487
738	54247.69995
739	54216.38659
740	54193.27805
741	54169.67181
742	54155.10176
743	54123.31183
744	54099.14302
745	54067.00204
746	54046.5238
747	54018.88905
748	54005.61859
749	53982.0665
750	53937.37953
751	53909.6592
752	53892.26361
753	53845.01703
754	53827.06677
755	53807.64013
756	53785.607
757	53732.45201
758	53685.80353
759	53660.54373
760	53637.03959
761	53611.34101
762	53579.38302
763	53540.37058
764	53508.35993
765	53466.12544
766	53436.72702
767	53393.34964
768	53380.37565
769	53361.93995
770	53351.28533
771	53318.95686
772	53293.35526
773	53271.21305
774	53254.03736
775	53224.90071
776	53206.02082
777	53161.25845
778	53129.88166
779	53096.27404
780	53066.92513
781	53033.08283
782	53013.48971
783	52987.58033
784	52960.26413
785	52940.69137
786	52925.32548
787	52871.8702
788	52819.14783
789	52784.20712
790	52772.22749
791	52743.23978
792	52727.33899
793	52696.30695
794	52657.49415
795	52627.1378
796	52588.46015
797	52565.3898
798	52544.91902
799	52517.01005
800	52482.26693
801	52464.33008
802	52434.38977
803	52421.67625
804	52401.9542
805	52328.72344
806	52305.69144
807	52286.48273
808	52260.98095
809	52219.82323
810	52200.27387
811	52156.22047
812	52137.86297
813	52105.63834
814	52067.58617
815	52035.23092
816	51991.02638
817	51962.35998
818	51931.39906
819	51907.04011
820	51889.10696
821	51876.55006
822	51850.993
823	51830.6054
824	51798.10852
825	51755.65027
826	51748.44936
827	51710.26428
828	51693.8161
829	51669.423
830	51650.8448
831	51623.41661
832	51608.00718
833	51589.32833
834	51569.28167
835	51539.72938
836	51532.00518
837	51497.60237
838	51480.34434
839	51461.42834
840	51454.2177
841	51437.3982
842	51417.24561
843	51378.61487
844	51349.79275
845	51332.19757
846	51318.34579
847	51307.35054
848	51281.29797
849	51271.52129
850	51247.93613
851	51224.17433
852	51198.81015
853	51171.6546
854	51162.27031
855	51153.05547
856	51120.94576
857	51101.57822
858	51092.99167
859	51071.38516
860	51041.84914
861	51026.26449
862	50991.48808
863	50970.73117
864	50928.13959
865	50900.70088
866	50871.46886
867	50865.57393
868	50830.47968
869	50822.52885
870	50797.16178
871	50779.38889
872	50773.37112
873	50742.45463
874	50723.32513
875	50714.64499
876	50679.77055
877	50647.76688
878	50624.27512
879	50594.30723
880	50571.9397
881	50541.77502
882	50507.24559
883	50473.13327
884	50451.5527
885	50432.45479
886	50407.56951
887	50383.79707
888	50368.7101
889	50327.40696
890	50302.03159
891	50281.66245
892	50263.61278
893	50245.05425
894	50227.24838
895	50182.28162
896	50154.90301
897	50127.03669
898	50102.24827
899	50037.00047
900	50033.47797
901	50015.33535
902	49980.65537
903	49954.43463
904	49928.44005
905	49897.3593
906	49868.65469
907	49846.43713
908	49813.2486
909	49794.02282
910	49787.21135
911	49743.73119
912	49715.17198
913	49693.81075
914	49665.63902
915	49660.75795
916	49639.10757
917	49617.23656
918	49597.16623
919	49571.52469
920	49536.15977
921	49519.23001
922	49494.81598
923	49465.5327
924	49442.6438
925	49435.8775
926	49403.05369
927	49373.2653
928	49332.43811
929	49288.86705
930	49251.39566
931	49246.80679
932	49223.59593
933	49187.90983
934	49156.89368
935	49133.98027
936	49098.85153
937	49081.27384
938	49057.05684
939	49045.36545
940	49018.49499
941	48984.52021
942	48967.88055
943	48935.68237
944	48916.10753
945	48874.22732
946	48850.30449
947	48820.58612
948	48765.90633
949	48759.2612
950	48734.88857
951	48715.59327
952	48699.34621
953	48683.96724
954	48636.63419
955	48621.60003
956	48615.36343
957	48582.43493
958	48567.00202
959	48553.79479
960	48539.02838
961	48522.7171
962	48483.91055
963	48479.53646
964	48450.5408
965	48410.60356
966	48385.22651
967	48355.79067
968	48330.47984
969	48316.00821
970	48262.9651
971	48246.99353
972	48227.08829
973	48197.92618
974	48185.52334
975	48146.7511
976	48120.95021
977	48095.4632
978	48066.54677
979	48027.21292
980	48021.41702
981	48002.9299
982	47980.14876
983	47956.57173
984	47936.96861
985	47917.48523
986	47891.51058
987	47876.61178
988	47873.77336
989	47862.49957
990	47841.42711
991	47825.29709
992	47804.6979
993	47787.91821
994	47768.64597
995	47752.03126
996	47731.14934
997	47710.96523
998	47692.97631
999	47665.25883
